base_currency,target_currency
USD,EUR
USD,GBP
USD,JPY
USD,AUD
USD,CAD
USD,CHF
USD,CNY
USD,HKD
USD,SGD
USD,NZD
EUR,USD
EUR,GBP
EUR,JPY
EUR,AUD
EUR,CAD
EUR,CHF
EUR,CNY
EUR,HKD
EUR,SGD
EUR,NZD
GBP,USD
GBP,EUR
GBP,JPY
GBP,AUD
GBP,CAD
GBP,CHF
GBP,CNY
GBP,HKD
GBP,SGD
GBP,NZD
JPY,USD
JPY,EUR
JPY,GBP
JPY,AUD
JPY,CAD
JPY,CHF
JPY,CNY
JPY,HKD
JPY,SGD
JPY,NZD
AUD,USD
AUD,EUR
AUD,GBP
AUD,JPY
AUD,CAD
AUD,CHF
AUD,CNY
AUD,HKD
AUD,SGD
AUD,NZD
CAD,USD
CAD,EUR
CAD,GBP
CAD,JPY
CAD,AUD
CAD,CHF
CAD,CNY
CAD,HKD
CAD,SGD
CAD,NZD
CHF,USD
CHF,EUR
CHF,GBP
CHF,JPY
CHF,AUD
CHF,CAD
CHF,CNY
CHF,HKD
CHF,SGD
CHF,NZD
CNY,USD
CNY,EUR
CNY,GBP
CNY,JPY
CNY,AUD
CNY,CAD
CNY,CHF
CNY,HKD
CNY,SGD
CNY,NZD
HKD,USD
HKD,EUR
HKD,GBP
HKD,JPY
HKD,AUD
HKD,CAD
HKD,CHF
HKD,CNY
HKD,SGD
HKD,NZD
SGD,USD
SGD,EUR
SGD,GBP
SGD,JPY
SGD,AUD
SGD,CAD
SGD,CHF
SGD,CNY
SGD,HKD
SGD,NZD
NZD,USD
NZD,EUR
NZD,GBP
NZD,JPY
NZD,AUD
NZD,CAD
NZD,CHF
NZD,CNY
NZD,HKD
NZD,SGD
